Data zaladunku;Miejsce zaladunku;Data operacji;Dostawca;Typ operacji;Nr WZ;Czy magazynowane;Deklaracja/KZR;Volumen;Jednostka miary;Cena zakupu/produkcji;Wartosc;Cena sprzedazy;Produkt;Rodzaj zrebki;Rabanie (kto);Koszt rabania;Przewoznik;Nr rejestracyjny;Odleglosc km;Stawka zl/km;Koszt transportu;Odbiorca;Miejsce pochodzenia;Uwagi;Utworzyl;Data dodania wpisu;ID operacji;ID powiazania;Status
2026-07-06;;2026-07-06;Lander Agro;PRODUKCJA;PZ/1;TAK;Deklaracja;86.5;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:18:05;OP-MIGR-00001;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;ZAKUP;PZ/1;NIE;Deklaracja;86.5;MP;78.0;6747.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:18:05;OP-MIGR-00003;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;ZUŻYCIE;PZ/1;NIE;Deklaracja;86.5;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:18:05;OP-MIGR-00008;;AKTYWNY
2026-07-06;Myszków;2026-07-06;Magazyn Zabrze;ZAKUP;PZ/1;TAK;Deklaracja;86.5;MP;70.0;6747.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wilczak);SK 7J884;110.0;5.0;550.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:22:13;OP-MIGR-00004;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;PRODUKCJA;PZ/2;TAK;Deklaracja;82.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:26:26;OP-MIGR-00002;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;ZAKUP;PZ/2;NIE;Deklaracja;82.0;MP;78.0;6396.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:26:26;OP-MIGR-00005;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;ZUŻYCIE;PZ/2;NIE;Deklaracja;82.0;MP;0.0;0.0;0.0;Drewno opałowe z lasu;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczne zużycie surowca;;2026-07-09 07:26:26;OP-MIGR-00009;;AKTYWNY
2026-07-06;Myszków;2026-07-06;Magazyn Zabrze;ZAKUP;PZ/2;TAK;Deklaracja;82.0;MP;70.0;6396.0;0.0;Zrębka Produkcyjna Leśna;B;;0.0;własny (Wiór);SK 7H433;110.0;6.0;660.0;Magazyn Zabrze;Myszków;;Roesner Mateusz;2026-07-09 07:28:38;OP-MIGR-00006;;AKTYWNY
2026-07-06;;2026-07-06;Lander Agro;ZAKUP;PZ/1/D;TAK;KZR;29.5;M3;230.0;6785.0;0.0;Drewno opałowe z lasu;;;0.0;;;0.0;0.0;0.0;Magazyn Zabrze;;;Roesner Mateusz;2026-07-10 09:57:28;OP-MIGR-00007;;AKTYWNY
2026-07-07;;2026-07-07;Lander Agro;PRODUKCJA;PZ/3;TAK;Deklaracja;88.0;MP;0.0;0.0;0.0;Zrębka Produkcyjna Leśna;;własne;10.0;;;0.0;0.0;0.0;Magazyn Zabrze;Myszków;Automatyczna produkcja z zakupionego surowca;;2026-07-09 07:32:50;OP-MIGR-00010;;AKTYWNY
